cuenta,followers,created_at,lang,text
jonpiras,376,Sat Jun 30 21:12:06 +0000 2012,es,"Dándole una mirada al oro 
http://t.co/sA85k5Ab"
qmunty,6745,Sat Jun 30 20:30:14 +0000 2012,es,María Igartua: Basilea III podría calificar el oro como activo Tier 1 http://t.co/zlTjWDEU
marceduque83,42,Sat Jun 30 14:50:07 +0000 2012,es,"Dándole una mirada al oro 
http://t.co/sA85k5Ab"
MiguelMorras,2663,Sat Jun 30 13:01:44 +0000 2012,es,Oro subiría bastante si Basilea III decide calificarlo como activo tier 1. Yo no creo que lo hagan. http://t.co/DvuO9mov
OroyFinanzas,6285,Sat Jun 30 11:49:23 +0000 2012,es,"La revisión de Basilea III puede revitalizar el rally del oro si lo consideran activo Tier 1
http://t.co/aoMScWOl"
asterix59mx,1543,Fri Jun 29 17:06:19 +0000 2012,es,"@DiazErnesto Basilea III implica índices de capitalización más elevados, si bien será obligatorio hasta 2019."
crazyakai,119,Thu Jun 28 03:33:14 +0000 2012,es,Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/SPsKXrEm
Angel_Rock_26,108,Thu Jun 28 02:41:12 +0000 2012,es,Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/SPsKXrEm
masterfonzo,161,Thu Jun 28 02:02:06 +0000 2012,es,Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/SPsKXrEm
JorgeR_DelaRosa,603,Thu Jun 28 02:00:46 +0000 2012,es,Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/SPsKXrEm
Raymondfamilia,2557,Thu Jun 28 01:54:36 +0000 2012,es,"""@eleconomista: Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/5q9kGSo6"""
eleconomista,416386,Thu Jun 28 01:40:00 +0000 2012,es,Basilea III afectará los créditos; las instituciones financieras tendrán reglas mas estrictas http://t.co/SPsKXrEm
ACIERTO_SC,295,Wed Jun 27 14:55:36 +0000 2012,es,¿Qué tanto afectarán las nuevas normativas Basilea III  la otorgación de créditos? http://t.co/m3fG43aa
citizeneconomy,905,Tue Jun 26 13:58:36 +0000 2012,es,"comité de Super bcaria de Basilea III publica el text con l reglas precisas para la composición d capital de los bcos
http://t.co/2dN2aVJ1"
78laurablanco,12451,Mon Jun 25 19:49:23 +0000 2012,es,Basile III prohibe vender a alguien un producto q no entiende. Basilea III entra en vigor en 2019. La norma va siempre por detras
enriserprofin,127,Mon Jun 25 16:45:43 +0000 2012,es,BASILEA III: CRITERIOS DE ESTABILIDAD DEL CAPITAL SOCIAL BANCARIO http://t.co/aWJJ1b5g
elboletinmadrid,9159,Mon Jun 25 06:47:08 +0000 2012,es,"La patronal bancaria internacional, de nuevo contra Basilea III http://t.co/hygiCqOT vía @elboletinmadrid"
juanrallo,100285,Sun Jun 24 17:19:53 +0000 2012,es,@lopez_zz @dlacalle @PabloTorres19 Aquí reflexioné sobre el tema: http://t.co/sjYZ4wqh
MauricioSoler,1019,Sun Jun 24 09:37:50 +0000 2012,es,"La banca respetará Basilea III? Los Estados debiesen confiscar los bancos privados y ponerlos al servicio de la economía, y san se acabó."
grupo_prime,38,Sun Jun 24 03:38:04 +0000 2012,es,Alcance de Basilea III para la Gestión del Riesgo - IE Business School http://t.co/IZ6LJBxk vía @youtube
portalagrop,14126,Sat Jun 23 14:56:20 +0000 2012,es,"Volkswagen Bank en México mantiene paso firme, adoptará acuerdos de Basilea III de manera anticipada, Robert Lufther."
kingarturo15,235,Fri Jun 22 22:29:57 +0000 2012,es,...sector mexicano está listo para adoptar la mayor parte de las disposiciones sobre capital y liquidez de Basilea III. En México...
GMPJose,54,Fri Jun 22 15:02:48 +0000 2012,es,"El rato de solvencia que nos hemos impuesto ,el que Basilea III no exige hasta el año 2021,superior al que se le exige al resto de países"
Investin5,43,Thu Jun 21 23:03:20 +0000 2012,es,Cabildeo en el Senado sobre la regulación financiera mexicana que surge de los Acuerdos de Basilea III.
javgutcesce,8,Thu Jun 21 08:09:20 +0000 2012,es,¿Merece la pena seguir apostando por #Basilea III? http://t.co/UbEaGf5G #gestióndelriesgo #banca #basileaiii
SebasSanAlv,67,Thu Jun 21 06:21:51 +0000 2012,es,¿Merece la pena seguir apostando por Basilea III?: Basilea III es un acuerdo entre bancos centrales y supervisor... http://t.co/cCUgVjHO
informa,5549,Thu Jun 21 06:12:04 +0000 2012,es,¿Merece la pena seguir apostando por #Basilea III? http://t.co/UbEaGf5G #gestióndelriesgo #banca #basileaiii
Inese_seguros,11585,Wed Jun 20 08:58:59 +0000 2012,es,"Basilea III y el giro de la bancaseguros francesa hacia No Vida, ¿ejemplo para España? http://t.co/GTPwkbWI [fr] #seguros #assurance"
elenajandrade,3540,Wed Jun 20 08:38:23 +0000 2012,es,"Basilea III y el giro de la bancaseguros francesa hacia No Vida, ¿ejemplo para España? http://t.co/GTPwkbWI [fr] #seguros #assurance"
jlcendrero,2116,Wed Jun 20 08:28:01 +0000 2012,es,"Basilea III y el giro de la bancaseguros francesa hacia No Vida, ¿ejemplo para España? http://t.co/GTPwkbWI [fr] #seguros #assurance"
Rocker_Flower,233,Mon Jun 18 20:57:15 +0000 2012,es,"...de capital y liquidez de los bancos, conocidas como Basilea III."""
ForeignAffairsL,18242,Mon Jun 18 20:49:13 +0000 2012,es,"...de capital y liquidez de los bancos, conocidas como Basilea III."""
_once,728,Mon Jun 18 16:07:49 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/50fPSihY: http://t.co/4S15dg4o via @cnnexpansion
Qvdo_360,21490,Mon Jun 18 16:00:48 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/50fPSihY: http://t.co/4S15dg4o via @cnnexpansion
Qvdo_360,21490,Mon Jun 18 15:58:26 +0000 2012,es,"Las reglas de capitalización bancaria de #Basilea III deben moderarse, pide el #B20 en Los Cabos http://t.co/XVOFhgvI"
economiaUCC,103,Mon Jun 18 15:37:08 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/50fPSihY: http://t.co/4S15dg4o via @cnnexpansion
MarioGerardo,402,Mon Jun 18 15:10:41 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/FZXXbNT: http://t.co/1tccbHi via @cnnexpansion
ExpEconomia,679809,Mon Jun 18 15:03:05 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/50fPSihY: http://t.co/4S15dg4o via @cnnexpansion
ElliexMejia,128,Mon Jun 18 14:53:07 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/50fPSihY: http://t.co/4S15dg4o via @cnnexpansion
consensomercado,2892,Mon Jun 18 11:40:55 +0000 2012,es,Una Basilea III menos rígida suavizará la inversión en activos más rentables #capital #inversión #economía http://t.co/CHBWg2QM
practifinanzas,2951,Mon Jun 18 00:55:53 +0000 2012,es,Basilea III debe flexibilizarse: B20 - El B20 pedirá a los 20 países más industrializados que se moderen los requeri... http://t.co/uJUAkT40
edgarsigler,1565,Mon Jun 18 00:54:11 +0000 2012,es,Basilea III debe flexibilizarse: B20 - El B20 pedirá a los 20 países más industrializados que se moderen los requeri... http://t.co/jKwM8isu
panamericanaep1,39,Mon Jun 18 00:48:13 +0000 2012,es,Basilea III debe flexibilizarse: B20 - El B20 pedirá a los 20 países más industrializados que se moderen los requeri... http://t.co/k3lPHrS8
DonJulioFDZ,814,Mon Jun 18 00:09:05 +0000 2012,es,Basilea III debe flexibilizarse: B20: El B20 pedirá a los 20 países más industrializados que se mode... http://t.co/Ub8TYypH #actualidad
garzonbr,109,Sun Jun 17 23:55:38 +0000 2012,es,En la web:: Basilea III debe flexibilizarse: B20 http://t.co/PcUAROJR
NewsFlowMexico,223,Sun Jun 17 23:50:03 +0000 2012,es,http://t.co/jfXkWE1g Basilea III debe flexibilizarse: B20
Newsu2fan,598,Sun Jun 17 23:32:08 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/Y3ttGTa0
Candidman,7402,Sun Jun 17 23:32:06 +0000 2012,es,#Economía Basilea III debe flexibilizarse: B20 http://t.co/yWTCAK9F ? @cnnexpansion
FISCOCLIC,20547,Sun Jun 17 23:30:58 +0000 2012,es,Basilea III debe flexibilizarse: B20: El B20 pedirá a los 20 países más industrializados que se moderen los requ... http://t.co/sb0Jq8KS
oscardelvallepr,18027,Sun Jun 17 23:30:58 +0000 2012,es,Basilea III debe flexibilizarse: B20: El B20 pedirá a los 20 países más industrializados que se moderen los requ... http://t.co/IIzoRZyf
GustavoSBR,718303,Sun Jun 17 23:30:56 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/OFiNRoFB #economia #ecofin
CpnPeru,1424,Sun Jun 17 23:30:55 +0000 2012,es,[Econ] Basilea III debe flexibilizarse: B20: El B20 pedirá a los 20 países más industrializados que se mod... http://t.co/mAjQWxIA #News
caspesi,159,Sun Jun 17 23:27:32 +0000 2012,es,Basilea III debe flexibilizarse: B20 - Economía - http://t.co/B9XBIowb http://t.co/WrqlKneT
MmmiguelLpz,300,Sun Jun 17 23:20:49 +0000 2012,es,Basilea III debe flexibilizarse: B20 @G20Mexico http://t.co/Pi7avP1Y (vía @cnnexpasion)
jmmartinezgo,7520,Sun Jun 17 23:15:00 +0000 2012,es,Basilea III debe flexibilizarse: B20 @G20Mexico http://t.co/Pi7avP1Y (vía @cnnexpasion)
conexiondigicol,635,Sun Jun 17 23:13:18 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/qHxocUqu - @cnnexpansion
EconomiaEs,3024,Sun Jun 17 23:10:38 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/m9Q7BRyq [CNNExpansión] #Economia
dsgnve,2297,Sun Jun 17 23:10:35 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/l49cIHgr
SergMolina,534,Sun Jun 17 23:10:33 +0000 2012,es,Basilea III debe flexibilizarse: B20 http://t.co/fzJT9vKX #EconomiaYNegocios
MarthenNewsMX,341,Sun Jun 17 23:08:54 +0000 2012,es,#CNNExpansión Basilea III debe flexibilizarse: B20 http://t.co/UXbDTPej #MarthenNewsMX
